multiplier,r_filter_um,J_total,J_flow,J_conc,outlet_rmse
1.0,25.00,3.997188e-06,nan,nan,1.250687e-01
1.5,37.50,8.225966e-06,nan,nan,1.898567e-01
2.0,50.00,1.264242e-05,nan,nan,2.206305e-01
2.5,62.50,1.998343e-05,nan,nan,2.929242e-01
3.0,75.00,8.335320e-05,nan,nan,5.845196e-01
